frame_num,frame_time,type,bpi,bpi_mz,tic,num_peaks,num_deisotoped,FramePressureUnsmoothed,FramePressureSmoothed
38,483.61,1,544681,755.98967,64598376,6575,1853,4.01388,4.01004
39,483.663,1,615694,579.35304,63682376,6288,1826,4.02205,4.01004
40,483.716,1,644247,579.3527,65336204,6150,1799,3.99753,4.01004
41,483.77,1,632814,579.35409,67112624,5994,1739,4.00453,4.01004
42,483.823,1,612502,579.35262,67868128,5965,1669,4.01738,4.01004
43,483.876,1,578808,666.38333,67757360,6264,1812,3.99986,4.01004
44,483.929,1,571007,666.38233,69009840,6227,1713,4.02205,4.01004
45,483.983,1,565951,552.79057,67469456,6282,1828,4.01738,4.01004
46,484.036,1,582132,552.79004,65308016,6067,1751,4.01621,4.01004
47,484.089,1,522629,552.7908,63027680,6155,1867,4.01037,4.01004
48,484.142,1,394798,552.78937,60380644,6406,1817,3.99753,4.01004
49,484.195,1,389546,508.27761,57984344,6770,1967,4.01855,4.01004
50,484.248,1,386521,508.2777,58469136,7450,2173,4.0022,4.01013
51,484.302,1,462662,495.95308,62249296,8175,2403,4.0092,4.01033
52,484.355,1,524297,686.85485,68581960,8708,2555,4.00453,4.01033
53,484.408,1,551556,686.85585,72305296,9238,2646,4.00336,4.01033
54,484.461,1,548803,686.85413,73954672,9392,2674,4.00804,4.01033
55,484.515,1,599421,625.31505,72588464,9015,2652,4.01621,4.01033
56,484.568,1,659819,625.31501,69066216,9120,2748,3.99986,4.01033
57,484.621,1,665041,625.31625,67622840,8670,2534,4.01271,4.01033
58,484.674,1,630707,625.31381,68558688,8712,2539,4.01621,4.01033
59,484.727,1,515563,625.32375,71578952,8652,2494,4.02205,4.01033
60,484.781,1,510290,400.22111,73935696,8729,2503,4.02205,4.01033
61,484.834,1,487949,400.22098,76565008,9256,2617,3.99753,4.01033
62,484.887,1,474481,503.79555,76687656,9416,2686,4.02439,4.01033
63,484.94,1,411773,503.79418,79600336,10038,2947,4.00804,4.01033
64,484.994,1,619972,704.36322,83020416,9581,2726,4.00453,4.01033
65,485.047,1,697182,704.36629,85810912,9126,2564,4.00336,4.01033
66,485.1,1,701366,704.36585,86399392,8350,2267,3.99169,4.01033
67,485.153,1,687285,704.36482,87115728,7764,2247,4.02556,4.01033
68,485.207,1,603445,704.36321,86507680,7438,2083,4.00804,4.01033
69,485.26,1,647962,735.86942,86578224,7393,2094,3.99986,4.01033
70,485.313,1,680627,735.87202,88346672,7554,2080,4.04074,4.01033
71,485.366,1,691318,735.85969,89674224,7218,2008,4.01738,4.01033
72,485.419,1,697833,735.8597,87871176,7471,2018,4.02322,4.01033
73,485.473,1,682072,735.87259,86439776,7090,1944,4.00453,4.01033
74,485.526,1,637608,735.86985,87290328,7218,2002,3.99753,4.01033
75,485.579,1,681775,571.80997,89475416,6843,1869,3.99402,4.01033
76,485.632,1,694046,571.8187,90921760,6070,1673,3.99869,4.01033
77,485.685,1,702532,571.81253,91489416,5619,1531,4.00687,4.01033
78,485.739,1,702106,571.81619,90435984,5666,1536,4.03373,4.01033
79,485.792,1,696061,571.81626,87060568,5885,1571,4.03256,4.01033
80,485.845,1,682720,571.81358,82721560,6456,1744,4.01621,4.01033
81,485.898,1,663089,571.81213,79547728,7608,2116,4.0022,4.01033
82,485.952,1,665448,504.26362,79887376,8978,2505,3.99052,4.01033
83,486.005,1,671244,504.25979,80491256,9599,2824,4.02205,4.01033
84,486.058,1,645536,504.26115,82870248,10076,2940,4.01154,4.01033
85,486.111,1,616892,552.30875,84424304,10313,3046,4.02556,4.01033
86,486.165,1,677775,552.31349,84363112,10127,2918,4.02556,4.01033
87,486.218,1,687490,552.29385,86390464,9931,2894,4.00804,4.01033
